FIPS	Name
49037	San Juan County, UT
32031	Washoe County, NV
02290	Yukon-Koyukuk Census Area, AK
27163	Washington County, MN
51041	Chesterfield County, VA
25027	Worcester County, MA
31031	Cherry County, NE
12105	Polk County, FL
51059	Fairfax County, VA
53075	Whitman County, WA
02170	Matanuska-Susitna Borough, AK
51163	Rockbridge County, VA
51015	Augusta County, VA
51019	Bedford County, VA
13121	Fulton County, GA
13107	Emanuel County, GA
02164	Lake and Peninsula Borough, AK
12003	Baker County, FL
51003	Albemarle County, VA
47065	Hamilton County, TN
12093	Okeechobee County, FL
08059	Jefferson County, CO
51069	Frederick County, VA
33009	Grafton County, NH
45073	Oconee County, SC
35037	Quay County, NM
72081	Lares Municipio, PR
30029	Flathead County, MT
46085	Lyman County, SD
02105	Hoonah-Angoon Census Area, AK
30063	Missoula County, MT
12063	Jackson County, FL
51095	James City County, VA
04001	Apache County, AZ
51161	Roanoke County, VA
22105	Tangipahoa Parish, LA
51077	Grayson County, VA
27007	Beltrami County, MN
02050	Bethel Census Area, AK
16049	Idaho County, ID
41063	Wallowa County, OR
72037	Ceiba Municipio, PR
45075	Orangeburg County, SC
51175	Southampton County, VA
02122	Kenai Peninsula Borough, AK
06051	Mono County, CA
48105	Crockett County, TX
42081	Lycoming County, PA
12051	Hendry County, FL
16013	Blaine County, ID
72107	Orocovis Municipio, PR
42125	Washington County, PA
18053	Grant County, IN
17099	LaSalle County, IL
13139	Hall County, GA
54039	Kanawha County, WV
72085	Las Piedras Municipio, PR
42097	Northumberland County, PA
12043	Glades County, FL
51165	Rockingham County, VA
26071	Iron County, MI
17149	Pike County, IL
32023	Nye County, NV
35025	Lea County, NM
30015	Chouteau County, MT
05093	Mississippi County, AR
18003	Allen County, IN
08073	Lincoln County, CO
27145	Stearns County, MN
17119	Madison County, IL
06029	Kern County, CA
27129	Renville County, MN
06019	Fresno County, CA
72097	Mayagüez Municipio, PR
27119	Polk County, MN
37097	Iredell County, NC
05035	Crittenden County, AR
08109	Saguache County, CO
54025	Greenbrier County, WV
06093	Siskiyou County, CA
72131	San Sebastián Municipio, PR
32007	Elko County, NV
21093	Hardin County, KY
27089	Marshall County, MN
06067	Sacramento County, CA
51143	Pittsylvania County, VA
05017	Chicot County, AR
38053	McKenzie County, ND
51179	Stafford County, VA
31041	Custer County, NE
24003	Anne Arundel County, MD
37125	Moore County, NC
10001	Kent County, DE
46023	Charles Mix County, SD
36091	Saratoga County, NY
25005	Bristol County, MA
06071	San Bernardino County, CA
12023	Columbia County, FL
51119	Middlesex County, VA
25003	Berkshire County, MA
01039	Covington County, AL
13267	Tattnall County, GA
28007	Attala County, MS
30059	Meagher County, MT
30027	Fergus County, MT
51107	Loudoun County, VA
72129	San Lorenzo Municipio, PR
42123	Warren County, PA
51131	Northampton County, VA
48005	Angelina County, TX
53041	Lewis County, WA
36101	Steuben County, NY
04015	Mohave County, AZ
24033	Prince George's County, MD
51195	Wise County, VA
72119	Río Grande Municipio, PR
13299	Ware County, GA
53077	Yakima County, WA
22007	Assumption Parish, LA
06027	Inyo County, CA
24017	Charles County, MD
53025	Grant County, WA
51199	York County, VA
51053	Dinwiddie County, VA
48047	Brooks County, TX
26103	Marquette County, MI
36025	Delaware County, NY
32017	Lincoln County, NV
37155	Robeson County, NC
39037	Darke County, OH
24001	Allegany County, MD
48013	Atascosa County, TX
30031	Gallatin County, MT
38055	McLean County, ND
42017	Bucks County, PA
28143	Tunica County, MS
13135	Gwinnett County, GA
72035	Cayey Municipio, PR
06061	Placer County, CA
41065	Wasco County, OR
30025	Fallon County, MT
16043	Fremont County, ID
27021	Cass County, MN
29069	Dunklin County, MO
21195	Pike County, KY
28109	Pearl River County, MS
53039	Klickitat County, WA
37171	Surry County, NC
37193	Wilkes County, NC
72025	Caguas Municipio, PR
72127	San Juan Municipio, PR
24043	Washington County, MD
72039	Ciales Municipio, PR
22009	Avoyelles Parish, LA
35035	Otero County, NM
39151	Stark County, OH
30087	Rosebud County, MT
48213	Henderson County, TX
38077	Richland County, ND
41045	Malheur County, OR
27001	Aitkin County, MN
41023	Grant County, OR
13033	Burke County, GA
72043	Coamo Municipio, PR
45041	Florence County, SC
18175	Washington County, IN
48149	Fayette County, TX
56039	Teton County, WY
40009	Beckham County, OK
08123	Weld County, CO
56009	Converse County, WY
36071	Orange County, NY
48463	Uvalde County, TX
08075	Logan County, CO
72141	Utuado Municipio, PR
45069	Marlboro County, SC
02195	Petersburg Census Area, AK
17173	Shelby County, IL
54103	Wetzel County, WV
42107	Schuylkill County, PA
29157	Perry County, MO
55003	Ashland County, WI
13069	Coffee County, GA
55029	Door County, WI
39061	Hamilton County, OH
29215	Texas County, MO
42089	Monroe County, PA
19109	Kossuth County, IA
01005	Barbour County, AL
13295	Walker County, GA
72021	Bayamón Municipio, PR
17113	McLean County, IL
31111	Lincoln County, NE
47145	Roane County, TN
38029	Emmons County, ND
16031	Cassia County, ID
37037	Chatham County, NC
18083	Knox County, IN
16039	Elmore County, ID
13163	Jefferson County, GA
33011	Hillsborough County, NH
01029	Cleburne County, AL
56029	Park County, WY
23019	Penobscot County, ME
38001	Adams County, ND
17031	Cook County, IL
56023	Lincoln County, WY
40089	McCurtain County, OK
18047	Franklin County, IN
45045	Greenville County, SC
46067	Hutchinson County, SD
47069	Hardeman County, TN
54059	Mingo County, WV
42043	Dauphin County, PA
46113	Shannon County, SD
35039	Rio Arriba County, NM
48231	Hunt County, TX
08101	Pueblo County, CO
13045	Carroll County, GA
37161	Rutherford County, NC
47071	Hardin County, TN
26135	Oscoda County, MI
22069	Natchitoches Parish, LA
22107	Tensas Parish, LA
17183	Vermilion County, IL
22017	Caddo Parish, LA
46013	Brown County, SD
13105	Elbert County, GA
13255	Spalding County, GA
12107	Putnam County, FL
56037	Sweetwater County, WY
23025	Somerset County, ME
55099	Price County, WI
47035	Cumberland County, TN
37087	Haywood County, NC
05097	Montgomery County, AR
42033	Clearfield County, PA
35045	San Juan County, NM
55073	Marathon County, WI
42055	Franklin County, PA
54023	Grant County, WV
56013	Fremont County, WY
40079	Le Flore County, OK
51005	Alleghany County, VA
23027	Waldo County, ME
13129	Gordon County, GA
05139	Union County, AR
55005	Barron County, WI
01077	Lauderdale County, AL
26039	Crawford County, MI
18073	Jasper County, IN
17037	DeKalb County, IL
48393	Roberts County, TX
55115	Shawano County, WI
12069	Lake County, FL
18055	Greene County, IN
18037	Dubois County, IN
48451	Tom Green County, TX
55031	Douglas County, WI
13261	Sumter County, GA
22013	Bienville Parish, LA
48387	Red River County, TX
47093	Knox County, TN
31103	Keya Paha County, NE
49047	Uintah County, UT
56007	Carbon County, WY
30085	Roosevelt County, MT
08071	Las Animas County, CO
40123	Pontotoc County, OK
31107	Knox County, NE
21111	Jefferson County, KY
13305	Wayne County, GA
36041	Hamilton County, NY
72019	Barranquitas Municipio, PR
40139	Texas County, OK
13175	Laurens County, GA
31089	Holt County, NE
01091	Marengo County, AL
13153	Houston County, GA
40007	Beaver County, OK
37153	Richmond County, NC
12097	Osceola County, FL
49033	Rich County, UT
12001	Alachua County, FL
08049	Grand County, CO
20063	Gove County, KS
09011	New London County, CT
49043	Summit County, UT
20135	Ness County, KS
46031	Corson County, SD
38105	Williams County, ND
28163	Yazoo County, MS
31141	Platte County, NE
20055	Finney County, KS
55123	Vernon County, WI
17167	Sangamon County, IL
06013	Contra Costa County, CA
40017	Canadian County, OK
31019	Buffalo County, NE
50007	Chittenden County, VT
48131	Duval County, TX
12083	Marion County, FL
06099	Stanislaus County, CA
72011	Añasco Municipio, PR
50027	Windsor County, VT
51177	Spotsylvania County, VA
72029	Canóvanas Municipio, PR
12127	Volusia County, FL
12055	Highlands County, FL
23011	Kennebec County, ME
45049	Hampton County, SC
01053	Escambia County, AL
48341	Moore County, TX
36031	Essex County, NY
08051	Gunnison County, CO
48297	Live Oak County, TX
46099	Minnehaha County, SD
49045	Tooele County, UT
45029	Colleton County, SC
41035	Klamath County, OR
16017	Bonner County, ID
51153	Prince William County, VA
20201	Washington County, KS
22099	St. Martin Parish, LA
48065	Carson County, TX
26005	Allegan County, MI
12077	Liberty County, FL
02261	Valdez-Cordova Census Area, AK
50001	Addison County, VT
31109	Lancaster County, NE
30089	Sanders County, MT
51031	Campbell County, VA
31023	Butler County, NE
19043	Clayton County, IA
19193	Woodbury County, IA
53047	Okanogan County, WA
10003	New Castle County, DE
20015	Butler County, KS
19155	Pottawattamie County, IA
04009	Graham County, AZ
28101	Newton County, MS
24029	Kent County, MD
35059	Union County, NM
38069	Pierce County, ND
31067	Gage County, NE
26123	Newaygo County, MI
51650	Hampton city, VA
41009	Columbia County, OR
27099	Mower County, MN
19047	Crawford County, IA
36043	Herkimer County, NY
51033	Caroline County, VA
37033	Caswell County, NC
19065	Fayette County, IA
51149	Prince George County, VA
27063	Jackson County, MN
53053	Pierce County, WA
36115	Washington County, NY
30049	Lewis and Clark County, MT
01061	Geneva County, AL
37147	Pitt County, NC
51057	Essex County, VA
34005	Burlington County, NJ
48479	Webb County, TX
72093	Maricao Municipio, PR
37141	Pender County, NC
48219	Hockley County, TX
36083	Rensselaer County, NY
51061	Fauquier County, VA
36077	Otsego County, NY
48023	Baylor County, TX
30033	Garfield County, MT
38017	Cass County, ND
51087	Henrico County, VA
27111	Otter Tail County, MN
50003	Bennington County, VT
48107	Crosby County, TX
27005	Becker County, MN
72125	San Germán Municipio, PR
51071	Giles County, VA
22047	Iberville Parish, LA
48255	Karnes County, TX
28131	Stone County, MS
53043	Lincoln County, WA
22095	St. John the Baptist Parish, LA
38063	Nelson County, ND
04012	La Paz County, AZ
51155	Pulaski County, VA
72109	Patillas Municipio, PR
09001	Fairfield County, CT
27013	Blue Earth County, MN
22051	Jefferson Parish, LA
51083	Halifax County, VA
51035	Carroll County, VA
48303	Lubbock County, TX
37177	Tyrrell County, NC
13031	Bulloch County, GA
12079	Madison County, FL
53059	Skamania County, WA
35051	Sierra County, NM
36023	Cortland County, NY
38103	Wells County, ND
34003	Bergen County, NJ
54071	Pendleton County, WV
54101	Webster County, WV
48177	Gonzales County, TX
02240	Southeast Fairbanks Census Area, AK
37073	Gates County, NC
34015	Gloucester County, NJ
19033	Cerro Gordo County, IA
51085	Hanover County, VA
37185	Warren County, NC
48291	Liberty County, TX
36011	Cayuga County, NY
72091	Manatí Municipio, PR
21193	Perry County, KY
37187	Washington County, NC
